bo  0.9634  465 186 602 387
y  0.9944  358 85 376 102
y  0.9943  1235 98 1265 127
y  0.9906  1242 78 1262 100
y  0.9899  1311 89 1337 112
y  0.9736  1775 393 1935 556
y  0.9693  1272 152 1332 223
y  0.9668  1198 116 1236 152
y  0.9535  190 87 205 106
y  0.9480  1254 66 1266 81
y  0.8880  1304 71 1320 89
y  0.6630  507 78 521 94
b  0.8341  669 71 679 86
y  0.4747  1119 61 1128 74
y  0.3801  1044 60 1054 75
y  0.2568  1380 132 1417 166
b  0.9995  920 101 943 128
b  0.9990  1054 81 1071 103
b  0.9983  734 158 786 233
b  0.9923  1099 71 1111 90
b  0.9881  994 70 1005 88
b  0.9880  834 120 868 163
b  0.9660  1062 66 1073 83
b  0.9611  192 97 211 120
b  0.8697  140 385 321 552
b  0.8111  937 81 951 102
b  0.7295  427 84 444 102
b  0.6424  578 76 589 92
b  0.6377  935 65 945 80
b  0.5707  803 65 812 81
b  0.5691  982 88 1000 111
b  0.5165  186 97 201 118
b  0.4571  739 66 748 80
